Time,root.PAMAP2.d0.s3(DOUBLE)
1970-01-01T09:00:07.420+08:00,30.1875
1970-01-01T09:00:07.430+08:00,30.1875
1970-01-01T09:00:07.440+08:00,30.1875
1970-01-01T09:00:07.450+08:00,30.1875
1970-01-01T09:00:07.460+08:00,30.1875
1970-01-01T09:00:07.470+08:00,30.1875
1970-01-01T09:00:07.480+08:00,30.1875
1970-01-01T09:00:07.490+08:00,30.1875
1970-01-01T09:00:07.500+08:00,30.1875
1970-01-01T09:00:07.510+08:00,30.1875
1970-01-01T09:00:07.520+08:00,30.1875
1970-01-01T09:00:07.530+08:00,30.1875
1970-01-01T09:00:07.540+08:00,30.1875
1970-01-01T09:00:07.550+08:00,30.1875
1970-01-01T09:00:07.560+08:00,30.1875
1970-01-01T09:00:07.570+08:00,30.1875
1970-01-01T09:00:07.580+08:00,30.1875
1970-01-01T09:00:07.590+08:00,30.1875
1970-01-01T09:00:07.600+08:00,30.1875
1970-01-01T09:00:07.610+08:00,30.1875
1970-01-01T09:00:07.620+08:00,30.1875
1970-01-01T09:00:07.630+08:00,30.1875
1970-01-01T09:00:07.640+08:00,30.1875
1970-01-01T09:00:07.650+08:00,30.1875
1970-01-01T09:00:07.660+08:00,30.1875
1970-01-01T09:00:07.670+08:00,30.1875
1970-01-01T09:00:07.680+08:00,30.1875
1970-01-01T09:00:07.690+08:00,30.1875
1970-01-01T09:00:07.700+08:00,30.1875
1970-01-01T09:00:07.710+08:00,30.1875
1970-01-01T09:00:07.740+08:00,30.1875
1970-01-01T09:00:07.750+08:00,30.1875
1970-01-01T09:00:07.760+08:00,30.1875
1970-01-01T09:00:07.770+08:00,30.1875
1970-01-01T09:00:07.780+08:00,30.1875
1970-01-01T09:00:07.790+08:00,30.1875
1970-01-01T09:00:07.800+08:00,30.1875
1970-01-01T09:00:07.810+08:00,30.1875
1970-01-01T09:00:07.820+08:00,30.1875
1970-01-01T09:00:07.830+08:00,30.1875
1970-01-01T09:00:07.840+08:00,30.1875
1970-01-01T09:00:07.850+08:00,30.1875
1970-01-01T09:00:07.860+08:00,30.1875
1970-01-01T09:00:07.870+08:00,30.1875
1970-01-01T09:00:07.880+08:00,30.1875
1970-01-01T09:00:07.890+08:00,30.1875
1970-01-01T09:00:07.900+08:00,30.1875
1970-01-01T09:00:07.910+08:00,30.1875
1970-01-01T09:00:07.920+08:00,30.1875
1970-01-01T09:00:07.930+08:00,30.1875
1970-01-01T09:00:07.940+08:00,30.1875
1970-01-01T09:00:07.950+08:00,30.1875
1970-01-01T09:00:07.960+08:00,30.1875
1970-01-01T09:00:07.970+08:00,30.1875
1970-01-01T09:00:07.980+08:00,30.1875
1970-01-01T09:00:07.990+08:00,30.1875
1970-01-01T09:00:08.010+08:00,30.1875
1970-01-01T09:00:08.020+08:00,30.1875
1970-01-01T09:00:08.030+08:00,30.1875
1970-01-01T09:00:08.040+08:00,30.1875
1970-01-01T09:00:08.050+08:00,30.1875
1970-01-01T09:00:08.060+08:00,30.1875
1970-01-01T09:00:08.070+08:00,30.1875
1970-01-01T09:00:08.080+08:00,30.1875
1970-01-01T09:00:08.090+08:00,30.1875
1970-01-01T09:00:08.100+08:00,30.1875
1970-01-01T09:00:08.110+08:00,30.1875
1970-01-01T09:00:08.120+08:00,30.1875
1970-01-01T09:00:08.130+08:00,30.1875
1970-01-01T09:00:08.140+08:00,30.1875
1970-01-01T09:00:08.150+08:00,30.1875
1970-01-01T09:00:08.160+08:00,30.1875
1970-01-01T09:00:08.170+08:00,30.1875
1970-01-01T09:00:08.180+08:00,30.1875
1970-01-01T09:00:08.190+08:00,30.1875
1970-01-01T09:00:08.200+08:00,30.1875
1970-01-01T09:00:08.210+08:00,30.1875
1970-01-01T09:00:08.220+08:00,30.1875
1970-01-01T09:00:08.230+08:00,30.1875
1970-01-01T09:00:08.240+08:00,30.1875
1970-01-01T09:00:08.250+08:00,30.1875
1970-01-01T09:00:08.260+08:00,30.1875
1970-01-01T09:00:08.270+08:00,30.1875
1970-01-01T09:00:08.280+08:00,30.1875
1970-01-01T09:00:08.290+08:00,30.1875
1970-01-01T09:00:08.300+08:00,30.1875
1970-01-01T09:00:08.310+08:00,30.1875
1970-01-01T09:00:08.320+08:00,30.1875
1970-01-01T09:00:08.330+08:00,30.1875
1970-01-01T09:00:08.340+08:00,30.1875
1970-01-01T09:00:08.350+08:00,30.1875
1970-01-01T09:00:08.360+08:00,30.1875
1970-01-01T09:00:08.370+08:00,30.1875
1970-01-01T09:00:08.380+08:00,30.1875
1970-01-01T09:00:08.390+08:00,30.1875
1970-01-01T09:00:08.400+08:00,30.1875
1970-01-01T09:00:08.410+08:00,30.1875
1970-01-01T09:00:08.420+08:00,30.1875
1970-01-01T09:00:08.430+08:00,30.1875
1970-01-01T09:00:08.440+08:00,30.1875
1970-01-01T09:00:08.450+08:00,30.1875
1970-01-01T09:00:08.460+08:00,30.1875
1970-01-01T09:00:08.470+08:00,30.1875
1970-01-01T09:00:08.480+08:00,30.1875
1970-01-01T09:00:08.490+08:00,30.1875
1970-01-01T09:00:08.500+08:00,30.1875
1970-01-01T09:00:08.510+08:00,30.1875
1970-01-01T09:00:08.520+08:00,30.1875
1970-01-01T09:00:08.530+08:00,30.1875
1970-01-01T09:00:08.540+08:00,30.1875
1970-01-01T09:00:08.550+08:00,30.1875
1970-01-01T09:00:08.560+08:00,30.1875
1970-01-01T09:00:08.570+08:00,30.1875
1970-01-01T09:00:08.580+08:00,30.1875
1970-01-01T09:00:08.590+08:00,30.1875
1970-01-01T09:00:08.600+08:00,30.1875
1970-01-01T09:00:08.610+08:00,30.1875
1970-01-01T09:00:08.620+08:00,30.1875
1970-01-01T09:00:08.630+08:00,30.1875
1970-01-01T09:00:08.640+08:00,30.1875
1970-01-01T09:00:08.650+08:00,30.1875
1970-01-01T09:00:08.660+08:00,30.1875
1970-01-01T09:00:08.670+08:00,30.1875
1970-01-01T09:00:08.680+08:00,30.1875
1970-01-01T09:00:08.690+08:00,30.1875
1970-01-01T09:00:08.700+08:00,30.1875
1970-01-01T09:00:08.710+08:00,30.1875
1970-01-01T09:00:08.720+08:00,30.1875
1970-01-01T09:00:08.730+08:00,30.1875
1970-01-01T09:00:08.740+08:00,30.1875
1970-01-01T09:00:08.750+08:00,30.1875
1970-01-01T09:00:08.760+08:00,30.1875
1970-01-01T09:00:08.770+08:00,30.1875
1970-01-01T09:00:08.780+08:00,30.1875
1970-01-01T09:00:08.790+08:00,30.1875
1970-01-01T09:00:08.800+08:00,30.1875
1970-01-01T09:00:08.810+08:00,30.1875
1970-01-01T09:00:08.820+08:00,30.1875
1970-01-01T09:00:08.830+08:00,30.1875
1970-01-01T09:00:08.840+08:00,30.1875
1970-01-01T09:00:08.850+08:00,30.1875
1970-01-01T09:00:08.860+08:00,30.1875
1970-01-01T09:00:08.870+08:00,30.1875
1970-01-01T09:00:08.880+08:00,30.1875
1970-01-01T09:00:08.890+08:00,30.1875
1970-01-01T09:00:08.900+08:00,30.1875
1970-01-01T09:00:08.910+08:00,30.1875
1970-01-01T09:00:08.920+08:00,30.1875
1970-01-01T09:00:08.930+08:00,30.1875
1970-01-01T09:00:08.940+08:00,30.1875
1970-01-01T09:00:08.950+08:00,30.1875
1970-01-01T09:00:08.960+08:00,30.1875
1970-01-01T09:00:08.970+08:00,30.1875
1970-01-01T09:00:08.980+08:00,30.1875
1970-01-01T09:00:08.990+08:00,30.1875
1970-01-01T09:00:09.000+08:00,30.1875
1970-01-01T09:00:09.010+08:00,30.1875
1970-01-01T09:00:09.020+08:00,30.1875
1970-01-01T09:00:09.030+08:00,30.1875
1970-01-01T09:00:09.040+08:00,30.1875
1970-01-01T09:00:09.050+08:00,30.1875
1970-01-01T09:00:09.060+08:00,30.1875
1970-01-01T09:00:09.070+08:00,30.1875
1970-01-01T09:00:09.080+08:00,30.1875
1970-01-01T09:00:09.090+08:00,30.1875
1970-01-01T09:00:09.100+08:00,30.1875
1970-01-01T09:00:09.110+08:00,30.1875
1970-01-01T09:00:09.120+08:00,30.1875
1970-01-01T09:00:09.130+08:00,30.1875
1970-01-01T09:00:09.140+08:00,30.1875
1970-01-01T09:00:09.150+08:00,30.1875
1970-01-01T09:00:09.160+08:00,30.1875
1970-01-01T09:00:09.170+08:00,30.1875
1970-01-01T09:00:09.180+08:00,30.1875
1970-01-01T09:00:09.190+08:00,30.1875
1970-01-01T09:00:09.200+08:00,30.1875
1970-01-01T09:00:09.210+08:00,30.1875
1970-01-01T09:00:09.220+08:00,30.1875
1970-01-01T09:00:09.230+08:00,30.1875
1970-01-01T09:00:09.240+08:00,30.1875
1970-01-01T09:00:09.250+08:00,30.1875
1970-01-01T09:00:09.260+08:00,30.1875
1970-01-01T09:00:09.270+08:00,30.1875
1970-01-01T09:00:09.280+08:00,30.1875
1970-01-01T09:00:09.290+08:00,30.1875
1970-01-01T09:00:09.300+08:00,30.1875
1970-01-01T09:00:09.310+08:00,30.1875
1970-01-01T09:00:09.320+08:00,30.1875
1970-01-01T09:00:09.330+08:00,30.1875
1970-01-01T09:00:09.340+08:00,30.1875
1970-01-01T09:00:09.350+08:00,30.1875
1970-01-01T09:00:09.360+08:00,30.1875
1970-01-01T09:00:09.370+08:00,30.1875
1970-01-01T09:00:09.380+08:00,30.1875
1970-01-01T09:00:09.390+08:00,30.1875
1970-01-01T09:00:09.400+08:00,30.1875
1970-01-01T09:00:09.410+08:00,30.1875
1970-01-01T09:00:09.420+08:00,30.1875
1970-01-01T09:00:09.430+08:00,30.1875
1970-01-01T09:00:09.440+08:00,30.25
1970-01-01T09:00:09.450+08:00,30.25
1970-01-01T09:00:09.460+08:00,30.25
1970-01-01T09:00:09.470+08:00,30.25
1970-01-01T09:00:09.480+08:00,30.25
1970-01-01T09:00:09.490+08:00,30.25
1970-01-01T09:00:09.500+08:00,30.25
1970-01-01T09:00:09.510+08:00,30.25
1970-01-01T09:00:09.520+08:00,30.25
1970-01-01T09:00:09.530+08:00,30.25
1970-01-01T09:00:09.540+08:00,30.25
1970-01-01T09:00:09.550+08:00,30.25
1970-01-01T09:00:09.560+08:00,30.25
1970-01-01T09:00:09.570+08:00,30.25
1970-01-01T09:00:09.580+08:00,30.25
1970-01-01T09:00:09.590+08:00,30.25
1970-01-01T09:00:09.600+08:00,30.25
1970-01-01T09:00:09.610+08:00,30.25
1970-01-01T09:00:09.620+08:00,30.25
1970-01-01T09:00:09.630+08:00,30.25
1970-01-01T09:00:09.640+08:00,30.25
1970-01-01T09:00:09.650+08:00,30.25
1970-01-01T09:00:09.660+08:00,30.25
1970-01-01T09:00:09.670+08:00,30.25
1970-01-01T09:00:09.680+08:00,30.25
1970-01-01T09:00:09.690+08:00,30.25
1970-01-01T09:00:09.700+08:00,30.25
1970-01-01T09:00:09.710+08:00,30.25
1970-01-01T09:00:09.720+08:00,30.25
1970-01-01T09:00:09.730+08:00,30.25
1970-01-01T09:00:09.740+08:00,30.25
1970-01-01T09:00:09.750+08:00,30.25
1970-01-01T09:00:09.760+08:00,30.25
1970-01-01T09:00:09.770+08:00,30.25
1970-01-01T09:00:09.780+08:00,30.25
1970-01-01T09:00:09.790+08:00,30.25
1970-01-01T09:00:09.800+08:00,30.25
1970-01-01T09:00:09.810+08:00,30.25
1970-01-01T09:00:09.820+08:00,30.25
1970-01-01T09:00:09.830+08:00,30.25
1970-01-01T09:00:09.840+08:00,30.25
1970-01-01T09:00:09.850+08:00,30.25
1970-01-01T09:00:09.860+08:00,30.25
1970-01-01T09:00:09.870+08:00,30.25
1970-01-01T09:00:09.880+08:00,30.25
1970-01-01T09:00:09.890+08:00,30.25
1970-01-01T09:00:09.900+08:00,30.25
1970-01-01T09:00:09.910+08:00,30.25
1970-01-01T09:00:09.920+08:00,30.25
1970-01-01T09:00:09.930+08:00,30.25
1970-01-01T09:00:09.940+08:00,30.25
1970-01-01T09:00:09.950+08:00,30.25
1970-01-01T09:00:09.960+08:00,30.25
1970-01-01T09:00:09.970+08:00,30.25
1970-01-01T09:00:09.980+08:00,30.25
1970-01-01T09:00:09.990+08:00,30.25
1970-01-01T09:00:10.000+08:00,30.25
1970-01-01T09:00:10.010+08:00,30.25
1970-01-01T09:00:10.020+08:00,30.1875
1970-01-01T09:00:10.030+08:00,30.1875
1970-01-01T09:00:10.040+08:00,30.1875
1970-01-01T09:00:10.050+08:00,30.1875
1970-01-01T09:00:10.060+08:00,30.1875
1970-01-01T09:00:10.070+08:00,30.1875
1970-01-01T09:00:10.080+08:00,30.1875
1970-01-01T09:00:10.090+08:00,30.1875
1970-01-01T09:00:10.100+08:00,30.1875
1970-01-01T09:00:10.110+08:00,30.1875
1970-01-01T09:00:10.120+08:00,30.1875
1970-01-01T09:00:10.130+08:00,30.1875
1970-01-01T09:00:10.140+08:00,30.1875
1970-01-01T09:00:10.150+08:00,30.1875
1970-01-01T09:00:10.160+08:00,30.1875
1970-01-01T09:00:10.170+08:00,30.1875
1970-01-01T09:00:10.180+08:00,30.1875
1970-01-01T09:00:10.190+08:00,30.1875
1970-01-01T09:00:10.200+08:00,30.1875
1970-01-01T09:00:10.210+08:00,30.1875
1970-01-01T09:00:10.220+08:00,30.1875
1970-01-01T09:00:10.240+08:00,30.1875
1970-01-01T09:00:10.250+08:00,30.1875
1970-01-01T09:00:10.260+08:00,30.1875
1970-01-01T09:00:10.270+08:00,30.1875
1970-01-01T09:00:10.280+08:00,30.1875
1970-01-01T09:00:10.290+08:00,30.1875
1970-01-01T09:00:10.300+08:00,30.1875
1970-01-01T09:00:10.310+08:00,30.1875
1970-01-01T09:00:10.320+08:00,30.1875
1970-01-01T09:00:10.330+08:00,30.1875
1970-01-01T09:00:10.340+08:00,30.1875
1970-01-01T09:00:10.350+08:00,30.1875
1970-01-01T09:00:10.360+08:00,30.1875
1970-01-01T09:00:10.370+08:00,30.1875
1970-01-01T09:00:10.380+08:00,30.1875
1970-01-01T09:00:10.390+08:00,30.1875
1970-01-01T09:00:10.400+08:00,30.1875
1970-01-01T09:00:10.410+08:00,30.1875
1970-01-01T09:00:10.420+08:00,30.1875
1970-01-01T09:00:10.430+08:00,30.1875
1970-01-01T09:00:10.440+08:00,30.1875
1970-01-01T09:00:10.450+08:00,30.1875
1970-01-01T09:00:10.460+08:00,30.1875
1970-01-01T09:00:10.470+08:00,30.1875
1970-01-01T09:00:10.480+08:00,30.1875
1970-01-01T09:00:10.490+08:00,30.1875
1970-01-01T09:00:10.500+08:00,30.1875
1970-01-01T09:00:10.510+08:00,30.1875
1970-01-01T09:00:10.520+08:00,30.1875
1970-01-01T09:00:10.530+08:00,30.1875
1970-01-01T09:00:10.540+08:00,30.1875
1970-01-01T09:00:10.550+08:00,30.1875
1970-01-01T09:00:10.560+08:00,30.1875
1970-01-01T09:00:10.570+08:00,30.1875
1970-01-01T09:00:10.580+08:00,30.1875
1970-01-01T09:00:10.590+08:00,30.1875
1970-01-01T09:00:10.600+08:00,30.25
1970-01-01T09:00:10.610+08:00,30.25
1970-01-01T09:00:10.620+08:00,30.25
1970-01-01T09:00:10.630+08:00,30.25
1970-01-01T09:00:10.640+08:00,30.25
1970-01-01T09:00:10.650+08:00,30.25
1970-01-01T09:00:10.660+08:00,30.25
1970-01-01T09:00:10.670+08:00,30.25
1970-01-01T09:00:10.680+08:00,30.25
1970-01-01T09:00:10.690+08:00,30.25
1970-01-01T09:00:10.700+08:00,30.25
1970-01-01T09:00:10.710+08:00,30.25
1970-01-01T09:00:10.720+08:00,30.25
1970-01-01T09:00:10.730+08:00,30.25
1970-01-01T09:00:10.740+08:00,30.25
1970-01-01T09:00:10.750+08:00,30.25
1970-01-01T09:00:10.760+08:00,30.25
1970-01-01T09:00:10.770+08:00,30.25
1970-01-01T09:00:10.780+08:00,30.25
1970-01-01T09:00:10.790+08:00,30.25
1970-01-01T09:00:10.800+08:00,30.25
1970-01-01T09:00:10.810+08:00,30.25
1970-01-01T09:00:10.820+08:00,30.25
1970-01-01T09:00:10.830+08:00,30.25
1970-01-01T09:00:10.840+08:00,30.25
1970-01-01T09:00:10.850+08:00,30.25
1970-01-01T09:00:10.860+08:00,30.25
1970-01-01T09:00:10.870+08:00,30.25
1970-01-01T09:00:10.880+08:00,30.25
1970-01-01T09:00:10.890+08:00,30.25
1970-01-01T09:00:10.900+08:00,30.25
1970-01-01T09:00:10.910+08:00,30.25
1970-01-01T09:00:10.920+08:00,30.25
1970-01-01T09:00:10.930+08:00,30.25
1970-01-01T09:00:10.940+08:00,30.25
1970-01-01T09:00:10.950+08:00,30.25
1970-01-01T09:00:10.960+08:00,30.25
1970-01-01T09:00:10.970+08:00,30.25
1970-01-01T09:00:10.980+08:00,30.25
1970-01-01T09:00:10.990+08:00,30.25
1970-01-01T09:00:11.000+08:00,30.25
1970-01-01T09:00:11.010+08:00,30.25
1970-01-01T09:00:11.020+08:00,30.25
1970-01-01T09:00:11.030+08:00,30.25
1970-01-01T09:00:11.040+08:00,30.25
1970-01-01T09:00:11.050+08:00,30.25
1970-01-01T09:00:11.060+08:00,30.25
1970-01-01T09:00:11.070+08:00,30.25
1970-01-01T09:00:11.080+08:00,30.25
1970-01-01T09:00:11.090+08:00,30.25
1970-01-01T09:00:11.100+08:00,30.25
1970-01-01T09:00:11.110+08:00,30.25
1970-01-01T09:00:11.120+08:00,30.25
1970-01-01T09:00:11.130+08:00,30.25
1970-01-01T09:00:11.140+08:00,30.25
1970-01-01T09:00:11.150+08:00,30.25
1970-01-01T09:00:11.160+08:00,30.25
1970-01-01T09:00:11.170+08:00,30.25
1970-01-01T09:00:11.180+08:00,30.1875
1970-01-01T09:00:11.190+08:00,30.1875
1970-01-01T09:00:11.200+08:00,30.1875
1970-01-01T09:00:11.210+08:00,30.1875
1970-01-01T09:00:11.220+08:00,30.1875
1970-01-01T09:00:11.230+08:00,30.1875
1970-01-01T09:00:11.240+08:00,30.1875
1970-01-01T09:00:11.250+08:00,30.1875
1970-01-01T09:00:11.260+08:00,30.1875
1970-01-01T09:00:11.270+08:00,30.1875
1970-01-01T09:00:11.280+08:00,30.1875
1970-01-01T09:00:11.290+08:00,30.1875
1970-01-01T09:00:11.300+08:00,30.1875
1970-01-01T09:00:11.310+08:00,30.1875
1970-01-01T09:00:11.320+08:00,30.1875
1970-01-01T09:00:11.330+08:00,30.1875
1970-01-01T09:00:11.340+08:00,30.1875
1970-01-01T09:00:11.350+08:00,30.1875
1970-01-01T09:00:11.360+08:00,30.1875
1970-01-01T09:00:11.370+08:00,30.1875
1970-01-01T09:00:11.380+08:00,30.1875
1970-01-01T09:00:11.390+08:00,30.1875
1970-01-01T09:00:11.400+08:00,30.1875
1970-01-01T09:00:11.410+08:00,30.1875
1970-01-01T09:00:11.420+08:00,30.1875
1970-01-01T09:00:11.430+08:00,30.1875
1970-01-01T09:00:11.440+08:00,30.1875
1970-01-01T09:00:11.450+08:00,30.1875
1970-01-01T09:00:11.460+08:00,30.1875
1970-01-01T09:00:11.470+08:00,30.1875
1970-01-01T09:00:11.480+08:00,30.1875
1970-01-01T09:00:11.490+08:00,30.1875
1970-01-01T09:00:11.500+08:00,30.1875
1970-01-01T09:00:11.510+08:00,30.1875
1970-01-01T09:00:11.520+08:00,30.1875
1970-01-01T09:00:11.530+08:00,30.1875
1970-01-01T09:00:11.540+08:00,30.1875
1970-01-01T09:00:11.550+08:00,30.1875
1970-01-01T09:00:11.560+08:00,30.1875
1970-01-01T09:00:11.570+08:00,30.1875
1970-01-01T09:00:11.580+08:00,30.1875
1970-01-01T09:00:11.590+08:00,30.1875
1970-01-01T09:00:11.600+08:00,30.1875
1970-01-01T09:00:11.610+08:00,30.1875
1970-01-01T09:00:11.620+08:00,30.1875
1970-01-01T09:00:11.630+08:00,30.1875
1970-01-01T09:00:11.640+08:00,30.1875
1970-01-01T09:00:11.650+08:00,30.1875
1970-01-01T09:00:11.660+08:00,30.1875
1970-01-01T09:00:11.670+08:00,30.1875
1970-01-01T09:00:11.680+08:00,30.1875
1970-01-01T09:00:11.690+08:00,30.1875
1970-01-01T09:00:11.700+08:00,30.1875
1970-01-01T09:00:11.710+08:00,30.1875
1970-01-01T09:00:11.720+08:00,30.1875
1970-01-01T09:00:11.730+08:00,30.1875
1970-01-01T09:00:11.740+08:00,30.1875
1970-01-01T09:00:11.750+08:00,30.25
1970-01-01T09:00:11.760+08:00,30.25
1970-01-01T09:00:11.770+08:00,30.25
1970-01-01T09:00:11.780+08:00,30.25
1970-01-01T09:00:11.790+08:00,30.25
1970-01-01T09:00:11.800+08:00,30.25
1970-01-01T09:00:11.810+08:00,30.25
1970-01-01T09:00:11.820+08:00,30.25
1970-01-01T09:00:11.830+08:00,30.25
1970-01-01T09:00:11.840+08:00,30.25
1970-01-01T09:00:11.850+08:00,30.25
1970-01-01T09:00:11.860+08:00,30.25
1970-01-01T09:00:11.870+08:00,30.25
1970-01-01T09:00:11.880+08:00,30.25
1970-01-01T09:00:11.890+08:00,30.25
1970-01-01T09:00:11.900+08:00,30.25
1970-01-01T09:00:11.910+08:00,30.25
1970-01-01T09:00:11.920+08:00,30.25
1970-01-01T09:00:11.930+08:00,30.25
1970-01-01T09:00:11.940+08:00,30.25
1970-01-01T09:00:11.950+08:00,30.25
1970-01-01T09:00:11.960+08:00,30.25
1970-01-01T09:00:11.970+08:00,30.25
1970-01-01T09:00:11.980+08:00,30.25
1970-01-01T09:00:11.990+08:00,30.25
1970-01-01T09:00:12.000+08:00,30.25
1970-01-01T09:00:12.010+08:00,30.25
1970-01-01T09:00:12.020+08:00,30.25
1970-01-01T09:00:12.030+08:00,30.25
1970-01-01T09:00:12.040+08:00,30.25
1970-01-01T09:00:12.050+08:00,30.25
1970-01-01T09:00:12.060+08:00,30.25
1970-01-01T09:00:12.070+08:00,30.25
1970-01-01T09:00:12.080+08:00,30.25
1970-01-01T09:00:12.090+08:00,30.25
1970-01-01T09:00:12.100+08:00,30.25
1970-01-01T09:00:12.110+08:00,30.25
1970-01-01T09:00:12.120+08:00,30.25
1970-01-01T09:00:12.130+08:00,30.25
1970-01-01T09:00:12.140+08:00,30.25
1970-01-01T09:00:12.150+08:00,30.25
1970-01-01T09:00:12.160+08:00,30.25
1970-01-01T09:00:12.170+08:00,30.25
1970-01-01T09:00:12.180+08:00,30.25
1970-01-01T09:00:12.190+08:00,30.25
1970-01-01T09:00:12.200+08:00,30.25
1970-01-01T09:00:12.210+08:00,30.25
1970-01-01T09:00:12.220+08:00,30.25
1970-01-01T09:00:12.230+08:00,30.25
1970-01-01T09:00:12.240+08:00,30.25
1970-01-01T09:00:12.250+08:00,30.25
1970-01-01T09:00:12.260+08:00,30.25
1970-01-01T09:00:12.270+08:00,30.25
1970-01-01T09:00:12.280+08:00,30.25
1970-01-01T09:00:12.290+08:00,30.25
1970-01-01T09:00:12.300+08:00,30.25
1970-01-01T09:00:12.310+08:00,30.25
1970-01-01T09:00:12.320+08:00,30.25
1970-01-01T09:00:12.330+08:00,30.25
1970-01-01T09:00:12.340+08:00,30.25
1970-01-01T09:00:12.350+08:00,30.25
1970-01-01T09:00:12.360+08:00,30.25
1970-01-01T09:00:12.370+08:00,30.25
1970-01-01T09:00:12.380+08:00,30.25
1970-01-01T09:00:12.390+08:00,30.25
1970-01-01T09:00:12.400+08:00,30.25
1970-01-01T09:00:12.410+08:00,30.25
1970-01-01T09:00:12.420+08:00,30.25
1970-01-01T09:00:12.430+08:00,30.25
1970-01-01T09:00:12.440+08:00,30.25
1970-01-01T09:00:12.450+08:00,30.25
1970-01-01T09:00:12.460+08:00,30.25
1970-01-01T09:00:12.470+08:00,30.25
1970-01-01T09:00:12.480+08:00,30.25
1970-01-01T09:00:12.490+08:00,30.25
1970-01-01T09:00:12.500+08:00,30.25
1970-01-01T09:00:12.510+08:00,30.25
1970-01-01T09:00:12.520+08:00,30.25
1970-01-01T09:00:12.530+08:00,30.25
1970-01-01T09:00:12.540+08:00,30.25
1970-01-01T09:00:12.550+08:00,30.25
1970-01-01T09:00:12.560+08:00,30.25
1970-01-01T09:00:12.570+08:00,30.25
1970-01-01T09:00:12.580+08:00,30.25
1970-01-01T09:00:12.590+08:00,30.25
1970-01-01T09:00:12.600+08:00,30.25
1970-01-01T09:00:12.610+08:00,30.25
1970-01-01T09:00:12.620+08:00,30.25
1970-01-01T09:00:12.630+08:00,30.25
1970-01-01T09:00:12.640+08:00,30.25
1970-01-01T09:00:12.650+08:00,30.25
1970-01-01T09:00:12.660+08:00,30.25
1970-01-01T09:00:12.670+08:00,30.25
1970-01-01T09:00:12.680+08:00,30.25
1970-01-01T09:00:12.690+08:00,30.25
1970-01-01T09:00:12.700+08:00,30.25
1970-01-01T09:00:12.710+08:00,30.25
1970-01-01T09:00:12.720+08:00,30.25
1970-01-01T09:00:12.730+08:00,30.25
1970-01-01T09:00:12.740+08:00,30.25
1970-01-01T09:00:12.750+08:00,30.25
1970-01-01T09:00:12.760+08:00,30.25
1970-01-01T09:00:12.770+08:00,30.25
1970-01-01T09:00:12.780+08:00,30.25
1970-01-01T09:00:12.790+08:00,30.25
1970-01-01T09:00:12.800+08:00,30.25
1970-01-01T09:00:12.810+08:00,30.25
1970-01-01T09:00:12.820+08:00,30.25
1970-01-01T09:00:12.830+08:00,30.25
1970-01-01T09:00:12.840+08:00,30.25
1970-01-01T09:00:12.850+08:00,30.25
1970-01-01T09:00:12.860+08:00,30.25
1970-01-01T09:00:12.870+08:00,30.25
1970-01-01T09:00:12.880+08:00,30.25
1970-01-01T09:00:12.890+08:00,30.25
1970-01-01T09:00:12.900+08:00,30.25
1970-01-01T09:00:12.910+08:00,30.25
1970-01-01T09:00:12.920+08:00,30.25
1970-01-01T09:00:12.930+08:00,30.25
1970-01-01T09:00:12.940+08:00,30.25
1970-01-01T09:00:12.950+08:00,30.25
1970-01-01T09:00:12.960+08:00,30.25
1970-01-01T09:00:12.970+08:00,30.25
1970-01-01T09:00:12.980+08:00,30.25
1970-01-01T09:00:12.990+08:00,30.25
1970-01-01T09:00:13.000+08:00,30.25
1970-01-01T09:00:13.010+08:00,30.25
1970-01-01T09:00:13.020+08:00,30.25
1970-01-01T09:00:13.030+08:00,30.25
1970-01-01T09:00:13.040+08:00,30.25
1970-01-01T09:00:13.050+08:00,30.25
1970-01-01T09:00:13.060+08:00,30.25
1970-01-01T09:00:13.070+08:00,30.25
1970-01-01T09:00:13.080+08:00,30.25
1970-01-01T09:00:13.090+08:00,30.25
1970-01-01T09:00:13.100+08:00,30.25
1970-01-01T09:00:13.110+08:00,30.25
1970-01-01T09:00:13.120+08:00,30.25
1970-01-01T09:00:13.130+08:00,30.25
1970-01-01T09:00:13.140+08:00,30.25
1970-01-01T09:00:13.150+08:00,30.25
1970-01-01T09:00:13.160+08:00,30.25
1970-01-01T09:00:13.170+08:00,30.25
1970-01-01T09:00:13.180+08:00,30.25
1970-01-01T09:00:13.190+08:00,30.25
1970-01-01T09:00:13.200+08:00,30.25
1970-01-01T09:00:13.210+08:00,30.25
1970-01-01T09:00:13.220+08:00,30.25
1970-01-01T09:00:13.230+08:00,30.25
1970-01-01T09:00:13.240+08:00,30.25
1970-01-01T09:00:13.250+08:00,30.25
1970-01-01T09:00:13.260+08:00,30.25
1970-01-01T09:00:13.270+08:00,30.25
1970-01-01T09:00:13.280+08:00,30.25
1970-01-01T09:00:13.290+08:00,30.25
1970-01-01T09:00:13.300+08:00,30.25
1970-01-01T09:00:13.310+08:00,30.25
1970-01-01T09:00:13.320+08:00,30.25
1970-01-01T09:00:13.330+08:00,30.25
1970-01-01T09:00:13.340+08:00,30.25
1970-01-01T09:00:13.350+08:00,30.25
1970-01-01T09:00:13.360+08:00,30.25
1970-01-01T09:00:13.370+08:00,30.25
1970-01-01T09:00:13.380+08:00,30.25
